p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
IGFBP7	0	0.838262138976003	0.745	0.415	0	Melanocyte cells	IGFBP7
TYRP1	0	0.812244477187071	0.546	0.391	0	Melanocyte cells	TYRP1
PMEL	0	0.809270923843577	0.665	0.566	0	Melanocyte cells	PMEL
GDF15	0	0.785357319270572	0.335	0.065	0	Melanocyte cells	GDF15
IFI27	0	0.755610101461036	0.422	0.224	0	Melanocyte cells	IFI27
FOS	0	0.687580990479372	0.732	0.606	0	Melanocyte cells	FOS
EGR1	0	0.684837638666768	0.592	0.158	0	Melanocyte cells	EGR1
MT-CO1	0	0.627146305553639	0.992	0.967	0	Melanocyte cells	MT-CO1
SERPINF1	0	0.612516686114248	0.687	0.188	0	Melanocyte cells	SERPINF1
IFI6	0	0.607746130821816	0.302	0.132	0	Melanocyte cells	IFI6
NR4A1	0	0.592073698185403	0.576	0.189	0	Melanocyte cells	NR4A1
MT-CO3	0	0.569076474164956	0.991	0.964	0	Melanocyte cells	MT-CO3
MT-CO2	0	0.567289514696723	0.992	0.971	0	Melanocyte cells	MT-CO2
CITED1	0	0.561046640999262	0.634	0.262	0	Melanocyte cells	CITED1
MITF	0	0.555219583184975	0.696	0.22	0	Melanocyte cells	MITF
BSG	0	0.552114370364301	0.661	0.219	0	Melanocyte cells	BSG
JUN	0	0.551491315905719	0.536	0.225	0	Melanocyte cells	JUN
DMKN	0	0.550594059306599	0.405	0.118	0	Melanocyte cells	DMKN
ATF3	0	0.541739870718168	0.461	0.122	0	Melanocyte cells	ATF3
MT-CYB	0	0.538683699216101	0.985	0.949	0	Melanocyte cells	MT-CYB
CDKN1A	0	0.535978857770197	0.436	0.161	0	Melanocyte cells	CDKN1A
A2M	0	0.532588028085508	0.464	0.17	0	Melanocyte cells	A2M
MT-ND4L	0	0.530504059003159	0.909	0.92	0	Melanocyte cells	MT-ND4L
GEM	0	0.529838898481763	0.309	0.07	0	Melanocyte cells	GEM
GPX3	0	0.518270192752625	0.418	0.112	0	Melanocyte cells	GPX3
GRINA	0	0.504068242669944	0.578	0.19	0	Melanocyte cells	GRINA
GPM6B	0	0.495452677510576	0.496	0.112	0	Melanocyte cells	GPM6B
MYC	0	0.479867550357043	0.419	0.101	0	Melanocyte cells	MYC
MT-ND1	0	0.472267352833293	0.981	0.915	0	Melanocyte cells	MT-ND1
VIM	0	0.464650418128703	0.978	0.924	0	Melanocyte cells	VIM
LMNA	0	0.46460462888906	0.614	0.234	0	Melanocyte cells	LMNA
NDUFB9	0	0.460723962897084	0.69	0.281	0	Melanocyte cells	NDUFB9
ZNF106	0	0.457505667408568	0.68	0.251	0	Melanocyte cells	ZNF106
ST3GAL4	0	0.456552766152402	0.516	0.144	0	Melanocyte cells	ST3GAL4
MTDH	0	0.454141652704625	0.603	0.18	0	Melanocyte cells	MTDH
LY6E	0	0.4468838094918	0.628	0.461	0	Melanocyte cells	LY6E
LRPAP1	0	0.443947946743358	0.437	0.132	0	Melanocyte cells	LRPAP1
NSG1	0	0.442360448454164	0.469	0.173	0	Melanocyte cells	NSG1
ARID5B	0	0.435433592596771	0.563	0.173	0	Melanocyte cells	ARID5B
CEBPD	0	0.429739885042081	0.323	0.065	0	Melanocyte cells	CEBPD
