p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
IGFBP7	0	0.838262138976003	0.745	0.415	0	0	IGFBP7
TYRP1	0	0.812244477187071	0.546	0.391	0	0	TYRP1
PMEL	0	0.809270923843577	0.665	0.566	0	0	PMEL
GDF15	0	0.785357319270572	0.335	0.065	0	0	GDF15
IFI27	0	0.755610101461036	0.422	0.224	0	0	IFI27
FOS	0	0.687580990479372	0.732	0.606	0	0	FOS
EGR1	0	0.684837638666768	0.592	0.158	0	0	EGR1
MT-CO1	0	0.627146305553639	0.992	0.967	0	0	MT-CO1
SERPINF1	0	0.612516686114248	0.687	0.188	0	0	SERPINF1
IFI6	0	0.607746130821816	0.302	0.132	0	0	IFI6
NR4A1	0	0.592073698185403	0.576	0.189	0	0	NR4A1
MT-CO3	0	0.569076474164956	0.991	0.964	0	0	MT-CO3
MT-CO2	0	0.567289514696723	0.992	0.971	0	0	MT-CO2
CITED1	0	0.561046640999262	0.634	0.262	0	0	CITED1
MITF	0	0.555219583184975	0.696	0.22	0	0	MITF
BSG	0	0.552114370364301	0.661	0.219	0	0	BSG
JUN	0	0.551491315905719	0.536	0.225	0	0	JUN
DMKN	0	0.550594059306599	0.405	0.118	0	0	DMKN
ATF3	0	0.541739870718168	0.461	0.122	0	0	ATF3
MT-CYB	0	0.538683699216101	0.985	0.949	0	0	MT-CYB
CDKN1A	0	0.535978857770197	0.436	0.161	0	0	CDKN1A
A2M	0	0.532588028085508	0.464	0.17	0	0	A2M
MT-ND4L	0	0.530504059003159	0.909	0.92	0	0	MT-ND4L
GEM	0	0.529838898481763	0.309	0.07	0	0	GEM
GPX3	0	0.518270192752625	0.418	0.112	0	0	GPX3
GRINA	0	0.504068242669944	0.578	0.19	0	0	GRINA
GPM6B	0	0.495452677510576	0.496	0.112	0	0	GPM6B
MYC	0	0.479867550357043	0.419	0.101	0	0	MYC
MT-ND1	0	0.472267352833293	0.981	0.915	0	0	MT-ND1
VIM	0	0.464650418128703	0.978	0.924	0	0	VIM
LMNA	0	0.46460462888906	0.614	0.234	0	0	LMNA
NDUFB9	0	0.460723962897084	0.69	0.281	0	0	NDUFB9
ZNF106	0	0.457505667408568	0.68	0.251	0	0	ZNF106
ST3GAL4	0	0.456552766152402	0.516	0.144	0	0	ST3GAL4
MTDH	0	0.454141652704625	0.603	0.18	0	0	MTDH
LY6E	0	0.4468838094918	0.628	0.461	0	0	LY6E
LRPAP1	0	0.443947946743358	0.437	0.132	0	0	LRPAP1
NSG1	0	0.442360448454164	0.469	0.173	0	0	NSG1
ARID5B	0	0.435433592596771	0.563	0.173	0	0	ARID5B
CEBPD	0	0.429739885042081	0.323	0.065	0	0	CEBPD
SERPINE2	0	0.423702768723819	0.387	0.096	0	0	SERPINE2
GPR143	0	0.41294676385066	0.483	0.093	0	0	GPR143
IFITM3	0	0.410811439943942	0.794	0.664	0	0	IFITM3
CD63	0	0.408836499961594	0.952	0.782	0	0	CD63
MALAT1	0	0.40165086302687	0.973	0.931	0	0	MALAT1
SERTAD1	0	0.399306166898158	0.433	0.127	0	0	SERTAD1
MT-ATP8	0	0.399028433741826	0.89	0.886	0	0	MT-ATP8
SPON2	0	0.398632994920859	0.368	0.086	0	0	SPON2
APOE	0	0.397438573084406	0.661	0.522	0	0	APOE
RHOBTB3	0	0.39683313317948	0.496	0.108	0	0	RHOBTB3
MLPH	0	0.396537529060401	0.517	0.107	0	0	MLPH
LGALS3BP	0	0.395202021869415	0.487	0.119	0	0	LGALS3BP
LAPTM4A	0	0.39264480647672	0.641	0.197	0	0	LAPTM4A
SLC3A2	0	0.391961954692626	0.568	0.152	0	0	SLC3A2
EFHD1	0	0.389651652005273	0.596	0.187	0	0	EFHD1
METTL9	0	0.38679349765859	0.71	0.278	0	0	METTL9
CRTAC1	0	0.384838429444883	0.371	0.061	0	0	CRTAC1
GAPDHS	0	0.367532671119816	0.4	0.098	0	0	GAPDHS
EDNRB	0	0.367072301139342	0.324	0.109	0	0	EDNRB
CTSF	0	0.36486355388499	0.474	0.09	0	0	CTSF
MT-ND3	0	0.364621475753028	0.947	0.921	0	0	MT-ND3
MARCKSL1	0	0.361704085970881	0.436	0.147	0	0	MARCKSL1
FOSB	0	0.360649272551973	0.44	0.157	0	0	FOSB
RAMP1	0	0.359890106468643	0.451	0.157	0	0	RAMP1
MT-ATP6	0	0.359340802653545	0.989	0.961	0	0	MT-ATP6
PAX3	0	0.358227664593931	0.445	0.082	0	0	PAX3
EMP1	0	0.358108492170055	0.343	0.064	0	0	EMP1
CD59	0	0.357929615512076	0.66	0.231	0	0	CD59
MFGE8	0	0.357776633209441	0.434	0.088	0	0	MFGE8
SNHG7	0	0.355377911149338	0.482	0.247	0	0	SNHG7
PPP1R15A	0	0.354887767241302	0.522	0.179	0	0	PPP1R15A
PIR	0	0.352596081003296	0.448	0.13	0	0	PIR
APP	0	0.351851283151434	0.441	0.106	0	0	APP
IER2	0	0.349073732052314	0.5	0.195	0	0	IER2
TFAP2A	0	0.349045167505158	0.412	0.114	0	0	TFAP2A
MLANA	0	0.341209112008941	0.864	0.698	0	0	MLANA
BACE2	0	0.3375777922038	0.407	0.068	0	0	BACE2
LAPTM4B	0	0.334721538995269	0.392	0.073	0	0	LAPTM4B
AP1S2	0	0.334119590979836	0.761	0.349	0	0	AP1S2
RAB38	0	0.33242644282608	0.611	0.198	0	0	RAB38
CD44	0	0.329990615006203	0.91	0.65	0	0	CD44
